id,m,r,n_part
568,4.823910e+14,1.871624e+03,62450
5230313,4.564346e+14,1.837433e+03,59090
876884,4.406145e+14,1.815955e+03,57042
6101339,4.204354e+14,1.787798e+03,54429
4356648,4.121123e+14,1.775922e+03,53352
1756058,3.810488e+14,1.730131e+03,49330
3480008,3.763833e+14,1.723041e+03,48727
3481843,3.699722e+14,1.713201e+03,47897
4357556,3.610204e+14,1.699271e+03,46738
2621870,3.495437e+14,1.681070e+03,45252
4357403,3.428260e+14,1.670232e+03,44382
6101019,3.394178e+14,1.664678e+03,43941
3482057,3.372253e+14,1.661086e+03,43657
4355579,3.354849e+14,1.658224e+03,43432
1758818,3.203194e+14,1.632851e+03,41468
1793,3.195401e+14,1.631526e+03,41368
5231695,3.100584e+14,1.615226e+03,40140
4354697,3.063488e+14,1.608758e+03,39660
3631,3.057670e+14,1.607739e+03,39585
5232365,3.010755e+14,1.599474e+03,38977
6104492,2.936668e+14,1.586245e+03,38018
6103436,2.911678e+14,1.581733e+03,37695
4359311,2.881804e+14,1.576305e+03,37308
2623519,2.880505e+14,1.576068e+03,37291
5231368,2.866270e+14,1.573468e+03,37107
2622174,2.810575e+14,1.563209e+03,36386
6102127,2.776337e+14,1.556836e+03,35942
130,2.773895e+14,1.556379e+03,35911
878742,2.744697e+14,1.550899e+03,35533
4356024,2.734514e+14,1.548979e+03,35401
4358720,2.730617e+14,1.548243e+03,35351
2621480,2.679598e+14,1.538539e+03,34690
2620204,2.668843e+14,1.536478e+03,34551
4354970,2.660842e+14,1.534941e+03,34447
2089,2.658920e+14,1.534572e+03,34422
3483238,2.649984e+14,1.532851e+03,34307
295,2.604524e+14,1.524035e+03,33718
1757533,2.602290e+14,1.523599e+03,33689
878619,2.506538e+14,1.504678e+03,32450
814,2.501446e+14,1.503658e+03,32384
878444,2.493653e+14,1.502095e+03,32283
3481449,2.445959e+14,1.492457e+03,31665
2623084,2.424242e+14,1.488027e+03,31384
4361535,2.423879e+14,1.487952e+03,31379
6106903,2.422995e+14,1.487772e+03,31368
1760489,2.415150e+14,1.486164e+03,31266
4355046,2.412137e+14,1.485546e+03,31227
6101712,2.404448e+14,1.483966e+03,31128
3482583,2.388550e+14,1.480688e+03,30922
1758287,2.341063e+14,1.470810e+03,30307
4361007,2.326724e+14,1.467801e+03,30122
5232519,2.320957e+14,1.466587e+03,30047
878030,2.314151e+14,1.465152e+03,29959
6104462,2.309891e+14,1.464252e+03,29904
5233939,2.283238e+14,1.458599e+03,29559
6105470,2.281835e+14,1.458300e+03,29541
3482787,2.273107e+14,1.456438e+03,29428
5230815,2.272587e+14,1.456327e+03,29421
6102609,2.263963e+14,1.454483e+03,29309
2623855,2.263028e+14,1.454282e+03,29297
3480535,2.261573e+14,1.453971e+03,29278
2622398,2.241623e+14,1.449683e+03,29020
4360347,2.212840e+14,1.443451e+03,28647
3486276,2.196370e+14,1.439861e+03,28434
3484269,2.185408e+14,1.437462e+03,28292
4355361,2.177199e+14,1.435660e+03,28186
2589,2.175485e+14,1.435283e+03,28164
4358186,2.170549e+14,1.434196e+03,28100
1759040,2.164626e+14,1.432891e+03,28023
3482278,2.162860e+14,1.432501e+03,28000
880815,2.150079e+14,1.429674e+03,27835
3483841,2.148832e+14,1.429397e+03,27819
3485214,2.129921e+14,1.425192e+03,27574
1759709,2.103216e+14,1.419210e+03,27228
4360589,2.089241e+14,1.416060e+03,27047
1757053,2.081032e+14,1.414203e+03,26941
877259,2.040144e+14,1.404879e+03,26412
5237471,2.038637e+14,1.404533e+03,26392
5239631,2.036922e+14,1.404140e+03,26370
3423,2.035260e+14,1.403757e+03,26348
4241,2.035000e+14,1.403698e+03,26345
3479572,2.029493e+14,1.402430e+03,26274
2624935,2.009075e+14,1.397711e+03,26009
879537,2.008192e+14,1.397506e+03,25998
882132,1.994164e+14,1.394245e+03,25816
4357911,1.984137e+14,1.391904e+03,25687
881324,1.983825e+14,1.391831e+03,25683
6107191,1.980500e+14,1.391053e+03,25640
3483697,1.969330e+14,1.388433e+03,25495
6111852,1.965745e+14,1.387590e+03,25448
6110327,1.965589e+14,1.387553e+03,25446
4361155,1.964550e+14,1.387309e+03,25433
2622903,1.951198e+14,1.384159e+03,25260
5235446,1.947769e+14,1.383347e+03,25216
3089,1.943560e+14,1.382350e+03,25161
5231035,1.928338e+14,1.378732e+03,24964
5236079,1.924909e+14,1.377914e+03,24920
1759442,1.921324e+14,1.377058e+03,24873
6106267,1.900958e+14,1.372175e+03,24610
1319,1.900750e+14,1.372125e+03,24607
